DATE_DT,DAY_NUM,DAY_NAME,DAY_SHORT_NAME,DATE_SHORT_NAME,DATE_ID,DATE_OFFSET_NUM,CALENDAR_WEEK_ID,CALENDAR_WEEK_NUM,CALENDAR_WEEK_NAME,CALENDAR_WEEK_OFFSET_NUM,CALENDAR_MONTH_ID,CALENDAR_MONTH_NUM,CALENDAR_MONTH_NAME,CALENDAR_MONTH_SHORT_NAME,CALENDAR_MONTH_OFFSET_NUM,CALENDAR_QUARTER_ID,CALENDAR_QUARTER_NUM,CALENDAR_QUARTER_NAME,CALENDAR_QUARTER_OFFSET_NUM,CALENDAR_YEAR_ID,CALENDAR_YEAR_NAME,CALENDAR_YEAR_OFFSET_NUM,FISCAL_WEEK_ID,FISCAL_WEEK_NUM,FISCAL_WEEK_NAME,FISCAL_WEEK_SHORT_NAME,FISCAL_WEEK_OFFSET_NUM,FISCAL_PERIOD_ID,FISCAL_PERIOD_NUM,FISCAL_PERIOD_NAME,FISCAL_PERIOD_SHORT_NAME,FISCAL_PERIOD_OFFSET_NUM,FISCAL_QUARTER_ID,FISCAL_QUARTER_NUM,FISCAL_QUARTER_NAME,FISCAL_QUARTER_SHORT_NAME,FISCAL_QUARTER_OFFSET_NUM,FISCAL_YEAR_ID,FISCAL_YEAR_NAME,FISCAL_YEAR_OFFSET_NUM
1/1/2022,6,Saturday,Sat,"Jan 01,2022",20220101,-226,202201,1,1,-33,202201,1,January,Jan,-7,20221,1,Q1,-2,2022,2022,0,202148,48,Week 48,48,-33,202111,11,Period 11,P11,-8,20214,4,Quarter 4,Q4,-3,2021,2021,-1
3/27/2021,6,Saturday,Sat,"Mar 27,2021",20210327,-506,202113,13,13,-73,202103,3,March,Mar,-17,20211,1,Q1,-6,2021,2021,-1,202108,8,Week 08,8,-73,202102,2,Period 02,P02,-17,20211,1,Quarter 1,Q1,-6,2021,2021,-1
8/8/2021,7,Sunday,Sun,"Aug 08,2021",20210808,-372,202132,32,32,-54,202108,8,August,Aug,-12,20213,3,Q3,-4,2021,2021,-1,202127,27,Week 27,27,-54,202107,7,Period 07,P07,-12,20213,3,Quarter 3,Q3,-4,2021,2021,-1
12/25/2021,6,Saturday,Sat,"Dec 25,2021",20211225,-233,202152,52,52,-34,202112,12,December,Dec,-8,20214,4,Q4,-3,2021,2021,-1,202147,47,Week 47,47,-34,202111,11,Period 11,P11,-8,20214,4,Quarter 4,Q4,-3,2021,2021,-1
4/28/2022,4,Thursday,Thu,"Apr 28,2022",20220428,-109,202217,17,17,-16,202204,4,April,Apr,-4,20222,2,Q2,-1,2022,2022,0,202213,13,Week 13,13,-16,202203,3,Period 03,P03,-4,20221,1,Quarter 1,Q1,-2,2022,2022,0
3/25/2021,4,Thursday,Thu,"Mar 25,2021",20210325,-508,202112,12,12,-73,202103,3,March,Mar,-17,20211,1,Q1,-6,2021,2021,-1,202108,8,Week 08,8,-73,202102,2,Period 02,P02,-17,20211,1,Quarter 1,Q1,-6,2021,2021,-1
6/19/2022,7,Sunday,Sun,"Jun 19,2022",20220619,-57,202225,25,25,-9,202206,6,June,Jun,-2,20222,2,Q2,-1,2022,2022,0,202220,20,Week 20,20,-9,202205,5,Period 05,P05,-2,20222,2,Quarter 2,Q2,-1,2022,2022,0
1/1/2022,6,Saturday,Sat,"Jan 01,2022",20220101,-226,202201,1,1,-33,202201,1,January,Jan,-7,20221,1,Q1,-2,2022,2022,0,202148,48,Week 48,48,-33,202111,11,Period 11,P11,-8,20214,4,Quarter 4,Q4,-3,2021,2021,-1
10/24/2021,7,Sunday,Sun,"Oct 24,2021",20211024,-295,202143,43,43,-43,202110,10,October,Oct,-10,20214,4,Q4,-3,2021,2021,-1,202138,38,Week 38,38,-43,202109,9,Period 09,P09,-10,20213,3,Quarter 3,Q3,-4,2021,2021,-1
7/2/2021,5,Friday,Fri,"Jul 02,2021",20210702,-409,202127,27,27,-59,202107,7,July,Jul,-13,20213,3,Q3,-4,2021,2021,-1,202122,22,Week 22,22,-59,202105,5,Period 05,P05,-14,20212,2,Quarter 2,Q2,-5,2021,2021,-1
2/28/2021,7,Sunday,Sun,"Feb 28,2021",20210228,-533,202109,9,9,-77,202102,2,February,Feb,-18,20211,1,Q1,-6,2021,2021,-1,202104,4,Week 04,4,-77,202101,1,Period 01,P01,-18,20211,1,Quarter 1,Q1,-6,2021,2021,-1
3/14/2022,1,Monday,Mon,"Mar 14,2022",20220314,-154,202211,11,11,-22,202203,3,March,Mar,-5,20221,1,Q1,-2,2022,2022,0,202207,7,Week 07,7,-22,202202,2,Period 02,P02,-5,20221,1,Quarter 1,Q1,-2,2022,2022,0
12/4/2021,6,Saturday,Sat,"Dec 04,2021",20211204,-254,202149,49,49,-37,202112,12,December,Dec,-8,20214,4,Q4,-3,2021,2021,-1,202144,44,Week 44,44,-37,202111,11,Period 11,P11,-8,20214,4,Quarter 4,Q4,-3,2021,2021,-1
7/21/2021,3,Wednesday,Wed,"Jul 21,2021",20210721,-390,202129,29,29,-56,202107,7,July,Jul,-13,20213,3,Q3,-4,2021,2021,-1,202125,25,Week 25,25,-56,202106,6,Period 06,P06,-13,20212,2,Quarter 2,Q2,-5,2021,2021,-1
2/16/2021,2,Tuesday,Tue,"Feb 16,2021",20210216,-545,202107,7,7,-78,202102,2,February,Feb,-18,20211,1,Q1,-6,2021,2021,-1,202103,3,Week 03,3,-78,202101,1,Period 01,P01,-18,20211,1,Quarter 1,Q1,-6,2021,2021,-1
1/26/2021,2,Tuesday,Tue,"Jan 26,2021",20210126,-566,202104,4,4,-81,202101,1,January,Jan,-19,20211,1,Q1,-6,2021,2021,-1,202052,52,Week 52,52,-81,202012,12,Period 12,P12,-19,20204,4,Quarter 4,Q4,-7,2020,2020,-2
3/7/2021,7,Sunday,Sun,"Mar 07,2021",20210307,-526,202110,10,10,-76,202103,3,March,Mar,-17,20211,1,Q1,-6,2021,2021,-1,202105,5,Week 05,5,-76,202102,2,Period 02,P02,-17,20211,1,Quarter 1,Q1,-6,2021,2021,-1
4/5/2021,1,Monday,Mon,"Apr 05,2021",20210405,-497,202114,14,14,-71,202104,4,April,Apr,-16,20212,2,Q2,-5,2021,2021,-1,202110,10,Week 10,10,-71,202103,3,Period 03,P03,-16,20211,1,Quarter 1,Q1,-6,2021,2021,-1
